2014-12-16 22:20:29,985 [20] INFO  DayKLog [(null)] - Line:208  code:002091,date:江苏国泰 starting 
2014-12-16 22:20:30,394 [21] INFO  DayKLog [(null)] - Line:209  code:600325,date:华发股份 starting 
2014-12-16 22:20:30,911 [11] INFO  DayKLog [(null)] - Line:210  code:002110,date:三钢闽光 starting 
2014-12-16 22:20:31,015 [23] INFO  DayKLog [(null)] - Line:211  code:002285,date:世联行 starting 
2014-12-16 22:20:31,113 [1] INFO  DayKLog [(null)] - Line:212  code:600048,date:保利地产 starting 
2014-12-16 22:20:31,676 [18] INFO  DayKLog [(null)] - Line:213  code:002709,date:天赐材料 starting 
2014-12-16 22:20:31,956 [9] INFO  DayKLog [(null)] - Line:214  code:601628,date:中国人寿 starting 
2014-12-16 22:20:32,066 [14] INFO  DayKLog [(null)] - Line:215  code:000559,date:万向钱潮 starting 
2014-12-16 22:20:32,271 [24] INFO  DayKLog [(null)] - Line:216  code:300073,date:当升科技 starting 
2014-12-16 22:20:32,436 [13] INFO  DayKLog [(null)] - Line:217  code:300124,date:汇川技术 starting 
2014-12-16 22:20:32,444 [25] INFO  DayKLog [(null)] - Line:218  code:600510,date:黑牡丹 starting 
2014-12-16 22:20:32,509 [17] INFO  DayKLog [(null)] - Line:219  code:600397,date:安源煤业 starting 
2014-12-16 22:20:32,611 [27] INFO  DayKLog [(null)] - Line:220  code:000718,date:苏宁环球 starting 
2014-12-16 22:20:32,825 [29] INFO  DayKLog [(null)] - Line:221  code:600675,date:中华企业 starting 
2014-12-16 22:20:32,827 [16] INFO  DayKLog [(null)] - Line:222  code:002318,date:久立特材 starting 
2014-12-16 22:20:32,933 [22] INFO  DayKLog [(null)] - Line:223  code:300224,date:正海磁材 starting 
2014-12-16 22:20:33,066 [26] INFO  DayKLog [(null)] - Line:224  code:600208,date:新湖中宝 starting 
2014-12-16 22:20:33,575 [11] INFO  DayKLog [(null)] - Line:225  code:600657,date:信达地产 starting 
2014-12-16 22:20:34,018 [23] INFO  DayKLog [(null)] - Line:226  code:600376,date:首开股份 starting 
2014-12-16 22:20:34,184 [18] INFO  DayKLog [(null)] - Line:227  code:002070,date:众和股份 starting 
2014-12-16 22:20:34,562 [9] INFO  DayKLog [(null)] - Line:228  code:601318,date:中国平安 starting 
2014-12-16 22:20:34,583 [28] INFO  DayKLog [(null)] - Line:229  code:600239,date:云南城投 starting 
2014-12-16 22:20:34,872 [27] INFO  DayKLog [(null)] - Line:230  code:600240,date:华业地产 starting 
2014-12-16 22:20:35,003 [6] INFO  DayKLog [(null)] - Line:231  code:600185,date:格力地产 starting 
2014-12-16 22:20:35,008 [29] INFO  DayKLog [(null)] - Line:232  code:600223,date:鲁商置业 starting 
2014-12-16 22:20:35,146 [23] INFO  DayKLog [(null)] - Line:233  code:600533,date:栖霞建设 starting 
2014-12-16 22:20:36,011 [31] INFO  DayKLog [(null)] - Line:234  code:000671,date:阳光城 starting 
2014-12-16 22:20:36,255 [10] INFO  DayKLog [(null)] - Line:235  code:000732,date:泰禾集团 starting 
2014-12-16 22:20:37,012 [32] INFO  DayKLog [(null)] - Line:236  code:600064,date:南京高科 starting 
2014-12-16 22:20:37,302 [12] INFO  DayKLog [(null)] - Line:237  code:000002,date:万科A starting 
2014-12-16 22:20:37,500 [18] INFO  DayKLog [(null)] - Line:238  code:002074,date:东源电器 starting 
2014-12-16 22:20:37,733 [30] INFO  DayKLog [(null)] - Line:239  code:000540,date:中天城投 starting 
2014-12-16 22:20:38,146 [19] INFO  DayKLog [(null)] - Line:240  code:300353,date:东土科技 starting 
2014-12-16 22:20:38,630 [14] INFO  DayKLog [(null)] - Line:241  code:600418,date:江淮汽车 starting 
2014-12-16 22:20:38,940 [15] INFO  DayKLog [(null)] - Line:242  code:000997,date:新大陆 starting 
